       x [mm]         y [mm]         z [mm]  BxRe [Vs/m^2]  ByRe [Vs/m^2]  BzRe [Vs/m^2]  BxIm [Vs/m^2]  ByIm [Vs/m^2]  BzIm [Vs/m^2]
          316           -150           -100     0.00203171     0.00199935     -0.0015677              0              0              0
          320           -150           -100     0.00200217     0.00197412    -0.00153854              0              0              0
          324           -150           -100     0.00197262     0.00194889    -0.00150938              0              0              0
          328           -150           -100     0.00194265     0.00192384    -0.00148084              0              0              0
          332           -150           -100      0.0019117     0.00189919    -0.00145371              0              0              0
          336           -150           -100     0.00188074     0.00187454    -0.00142657              0              0              0
          340           -150           -100     0.00184964        0.00185    -0.00139975              0              0              0
          344           -150           -100     0.00181781     0.00182598     -0.0013744              0              0              0
          348           -150           -100     0.00178598     0.00180197    -0.00134905              0              0              0
          352           -150           -100     0.00175372     0.00177848    -0.00132494              0              0              0
          356           -150           -100     0.00172126     0.00175523    -0.00130138              0              0              0
          360           -150           -100      0.0016888     0.00173197    -0.00127782              0              0              0
          364           -150           -100     0.00165623     0.00170906    -0.00125495              0              0              0
          368           -150           -100     0.00162342     0.00168678    -0.00123339              0              0              0
          372           -150           -100     0.00159061     0.00166451    -0.00121183              0              0              0
          376           -150           -100      0.0015578     0.00164224    -0.00119028              0              0              0
          380           -150           -100     0.00152496     0.00162102    -0.00117062              0              0              0
          384           -150           -100     0.00149211     0.00159982    -0.00115099              0              0              0
          388           -150           -100     0.00145927     0.00157861    -0.00113136              0              0              0
          392           -150           -100      0.0014266     0.00155828    -0.00111312              0              0              0
          396           -150           -100     0.00139403     0.00153843    -0.00109568              0              0              0
          400           -150           -100     0.00136147     0.00151858    -0.00107823              0              0              0
         -200           -146           -100    -0.00155646     0.00206659    -0.00151904              0              0              0
         -196           -146           -100     -0.0015975      0.0020785     -0.0015313              0              0              0
         -192           -146           -100    -0.00163854     0.00209042    -0.00154355              0              0              0
         -188           -146           -100    -0.00167958     0.00210233    -0.00155581              0              0              0
         -184           -146           -100    -0.00172062     0.00211425    -0.00156807              0              0              0
         -180           -146           -100    -0.00176025     0.00213661    -0.00159317              0              0              0
         -176           -146           -100    -0.00179962     0.00216091    -0.00162066              0              0              0
         -172           -146           -100      -0.001839     0.00218521    -0.00164815              0              0              0
         -168           -146           -100    -0.00187837     0.00220952    -0.00167564              0              0              0
         -164           -146           -100    -0.00191774     0.00223382    -0.00170313              0              0              0

#
# FILE TRUNCATED
#
# Included in repository to show CST's ASCII output format.
# Original file size = 222 MB
#
