%  ASCII export : 
%
%  Momentum is normalized to the product of particle's mass and speed of light.
%  All other quantities are in SI units.
%
%   posX              posY              posZ              momX              momY              momZ              mass              charge            macro-charge      time             particleID   sourceID

     4.9211230e-02     5.3619551e-08     1.9576839e-01     3.0908794e+01     6.7302259e-05     2.5588785e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     6.9604081e-01   0            16777216  
     4.9989659e-02     5.5310458e-08     1.9640326e-01     3.1188702e+01     6.7665766e-05     2.5246868e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     6.9939250e-01   0            16777216  
     5.0775073e-02     5.7010244e-08     1.9702949e-01     3.1467047e+01     6.8016408e-05     2.4899086e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     7.0274425e-01   0            16777216  
     5.1567424e-02     5.8718591e-08     1.9764690e-01     3.1743620e+01     6.8354027e-05     2.4545511e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     7.0609593e-01   0            16777216  
     5.2366663e-02     6.0435191e-08     1.9825538e-01     3.2018276e+01     6.8679597e-05     2.4186142e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     7.0944768e-01   0            16777216  
     5.3172749e-02     6.2159771e-08     1.9885476e-01     3.2290886e+01     6.8995389e-05     2.3820963e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     7.1279943e-01   0            16777216  
     5.3985622e-02     6.3892152e-08     1.9944490e-01     3.2561306e+01     6.9305803e-05     2.3449966e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     7.1615112e-01   0            16777216  
     5.4805223e-02     6.5632250e-08     2.0002566e-01     3.2829403e+01     6.9612885e-05     2.3073143e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     7.1950287e-01   0            16777216  
     5.5631496e-02     6.7379979e-08     2.0059688e-01     3.3094967e+01     6.9916256e-05     2.2690584e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     7.2285455e-01   0            16777216  
     5.6464374e-02     6.9135233e-08     2.0115843e-01     3.3357811e+01     7.0215880e-05     2.2302376e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     7.2620630e-01   0            16777216  
     5.7303779e-02     7.0897961e-08     2.0171019e-01     3.3617794e+01     7.0513830e-05     2.1908527e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     7.2955799e-01   0            16777216  
     5.8149647e-02     7.2668165e-08     2.0225197e-01     3.3874775e+01     7.0813643e-05     2.1509050e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     7.3290974e-01   0            16777216  
     5.9001897e-02     7.4445921e-08     2.0278369e-01     3.4128616e+01     7.1115093e-05     2.1103960e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     7.3626143e-01   0            16777216  
     5.9860442e-02     7.6231089e-08     2.0330514e-01     3.4379162e+01     7.1408351e-05     2.0693302e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     7.3961318e-01   0            16777216  
     6.0725205e-02     7.8023440e-08     2.0381624e-01     3.4626228e+01     7.1691160e-05     2.0277178e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     7.4296492e-01   0            16777216  
     6.1596088e-02     7.9822691e-08     2.0431681e-01     3.4869663e+01     7.1964154e-05     1.9855635e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     7.4631661e-01   0            16777216  
     6.2473007e-02     8.1628635e-08     2.0480676e-01     3.5109325e+01     7.2228926e-05     1.9428713e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     7.4966836e-01   0            16777216  
     6.3355856e-02     8.3441101e-08     2.0528592e-01     3.5344902e+01     7.2486655e-05     1.8996777e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     7.5302005e-01   0            16777216  
     6.4244524e-02     8.5259892e-08     2.0575421e-01     3.5575954e+01     7.2737486e-05     1.8560471e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     7.5637180e-01   0            16777216  
     6.5138906e-02     8.7084842e-08     2.0621149e-01     3.5802353e+01     7.2980343e-05     1.8119905e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     7.5972348e-01   0            16777216  
     6.6038877e-02     8.8915733e-08     2.0665769e-01     3.6024002e+01     7.3215597e-05     1.7675144e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     7.6307523e-01   0            16777216  
     6.6944309e-02     9.0752408e-08     2.0709267e-01     3.6240807e+01     7.3444251e-05     1.7226244e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     7.6642692e-01   0            16777216  
     6.7855090e-02     9.2594703e-08     2.0751637e-01     3.6452667e+01     7.3667325e-05     1.6773266e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     7.6977867e-01   0            16777216  
