       x [mm]         y [mm]         z [mm]  BxRe [Vs/m^2]  ByRe [Vs/m^2]  BzRe [Vs/m^2]  BxIm [Vs/m^2]  ByIm [Vs/m^2]  BzIm [Vs/m^2]
          144           -150           -100      0.0100525      0.0130647     -0.0136382              0              0              0
          148           -150           -100        0.01018      0.0129759     -0.0134459              0              0              0
          152           -150           -100      0.0102975      0.0128854      -0.013252              0              0              0
          156           -150           -100      0.0104037      0.0127931     -0.0130568              0              0              0
          160           -150           -100       0.010499      0.0126989     -0.0128604              0              0              0
          164           -150           -100      0.0105834      0.0126031     -0.0126633              0              0              0
          168           -150           -100      0.0106578      0.0125057     -0.0124657              0              0              0
          172           -150           -100      0.0107219      0.0124068     -0.0122678              0              0              0
          176           -150           -100      0.0107757      0.0123063     -0.0120699              0              0              0
          180           -150           -100      0.0108194      0.0122044     -0.0118722              0              0              0
          184           -150           -100      0.0108535      0.0121011      -0.011675              0              0              0
          188           -150           -100      0.0108778      0.0119965     -0.0114784              0              0              0
          192           -150           -100      0.0108928      0.0118906     -0.0112827              0              0              0
          196           -150           -100      0.0108985      0.0117836      -0.011088              0              0              0
          200           -150           -100      0.0108955      0.0116754     -0.0108945              0              0              0
          204           -150           -100      0.0108837      0.0115662     -0.0107025              0              0              0
          208           -150           -100      0.0108634       0.011456     -0.0105121              0              0              0
          212           -150           -100      0.0108348      0.0113449     -0.0103235              0              0              0
          216           -150           -100      0.0107984      0.0112329     -0.0101368              0              0              0
          220           -150           -100      0.0107545      0.0111203     -0.0099521              0              0              0
          224           -150           -100      0.0107033       0.011007    -0.00976956              0              0              0
          228           -150           -100      0.0106452      0.0108931    -0.00958928              0              0              0
          232           -150           -100      0.0105805      0.0107788    -0.00941136              0              0              0
          236           -150           -100      0.0105094       0.010664    -0.00923589              0              0              0
          240           -150           -100      0.0104323      0.0105489    -0.00906294              0              0              0
          244           -150           -100      0.0103494      0.0104336     -0.0088926              0              0              0
          248           -150           -100      0.0102611      0.0103181    -0.00872492              0              0              0
          252           -150           -100      0.0101677      0.0102026    -0.00855997              0              0              0
          256           -150           -100      0.0100693       0.010087    -0.00839778              0              0              0
          260           -150           -100     0.00996648     0.00997154     -0.0082383              0              0              0
          264           -150           -100     0.00985928     0.00985624    -0.00808167              0              0              0
          268           -150           -100     0.00974795     0.00974117    -0.00792794              0              0              0
          272           -150           -100     0.00963259     0.00962645    -0.00777725              0              0              0
          276           -150           -100     0.00951369     0.00951213    -0.00762946              0              0              0
          280           -150           -100     0.00939148     0.00939828    -0.00748457              0              0              0
          284           -150           -100     0.00926619     0.00928497     -0.0073426              0              0              0
          288           -150           -100     0.00913815     0.00917225    -0.00720342              0              0              0
          292           -150           -100     0.00900441     0.00906123    -0.00707057              0              0              0
          296           -150           -100     0.00886868     0.00895084    -0.00693995              0              0              0
          300           -150           -100     0.00873295     0.00884045    -0.00680934              0              0              0
          304           -150           -100     0.00859722     0.00873006    -0.00667873              0              0              0
          308           -150           -100     0.00845764     0.00862177    -0.00655434              0              0              0
          312           -150           -100     0.00831446     0.00851543    -0.00643576              0              0              0
          316           -150           -100     0.00817128     0.00840909    -0.00631718              0              0              0
          320           -150           -100      0.0080281     0.00830276     -0.0061986              0              0              0
          324           -150           -100     0.00788332     0.00819815    -0.00608407              0              0              0
          328           -150           -100      0.0077355     0.00809682    -0.00597718              0              0              0
          332           -150           -100     0.00758768     0.00799548     -0.0058703              0              0              0
          336           -150           -100     0.00743986     0.00789414    -0.00576341              0              0              0
          340           -150           -100     0.00729171     0.00779359    -0.00565811              0              0              0
          344           -150           -100     0.00714202     0.00769676    -0.00556027              0              0              0
          348           -150           -100     0.00699232     0.00759992    -0.00546243              0              0              0
          352           -150           -100     0.00684197     0.00750654    -0.00537056              0              0              0
          356           -150           -100     0.00669131     0.00741474     -0.0052814              0              0              0
          360           -150           -100     0.00654066     0.00732293    -0.00519224              0              0              0
          364           -150           -100        0.00639     0.00723112    -0.00510308              0              0              0
          368           -150           -100     0.00623954     0.00714273    -0.00501925              0              0              0
          372           -150           -100     0.00608928     0.00705763    -0.00494056              0              0              0
          376           -150           -100     0.00593902     0.00697253    -0.00486187              0              0              0
          380           -150           -100     0.00578875     0.00688743    -0.00478318              0              0              0
          384           -150           -100     0.00563903     0.00680466    -0.00470778              0              0              0
          388           -150           -100      0.0054904     0.00672665    -0.00463907              0              0              0
          392           -150           -100     0.00534177     0.00664863    -0.00457036              0              0              0
          396           -150           -100     0.00519314     0.00657061    -0.00450165              0              0              0
          400           -150           -100     0.00504498     0.00649394    -0.00443466              0              0              0
         -400           -146           -100     -0.0049699     0.00679412    -0.00436471              0              0              0
         -396           -146           -100    -0.00511628     0.00687504    -0.00443083              0              0              0
         -392           -146           -100    -0.00526315     0.00695742    -0.00449867              0              0              0
         -388           -146           -100    -0.00541001     0.00703979     -0.0045665              0              0              0
         -384           -146           -100    -0.00555688     0.00712216    -0.00463434              0              0              0
         -380           -146           -100    -0.00570488     0.00720966     -0.0047088              0              0              0
         -376           -146           -100    -0.00585345     0.00729969    -0.00478653              0              0              0
         -372           -146           -100    -0.00600202     0.00738973    -0.00486426              0              0              0
         -368           -146           -100    -0.00615059     0.00747976    -0.00494199              0              0              0
         -364           -146           -100     -0.0062994     0.00757337    -0.00502483              0              0              0

#
# FILE TRUNCATED
#
# Included in repository to show CST's ASCII output format.
# Original file size = 295 MB
#
