       x [mm]         y [mm]         z [mm]  BxRe [Vs/m^2]  ByRe [Vs/m^2]  BzRe [Vs/m^2]  BxIm [Vs/m^2]  ByIm [Vs/m^2]  BzIm [Vs/m^2]
          325           -150           -100     0.00788546     0.00720178    -0.00255788              0              0              0
          330           -150           -100     0.00775866     0.00706398    -0.00248226              0              0              0
          335           -150           -100     0.00763099     0.00692725    -0.00240878              0              0              0
          340           -150           -100     0.00750266     0.00679166    -0.00233739              0              0              0
          345           -150           -100     0.00737386     0.00665737    -0.00226818              0              0              0
          350           -150           -100     0.00724479      0.0065244    -0.00220101              0              0              0
          355           -150           -100      0.0071156     0.00639273    -0.00213569              0              0              0
          360           -150           -100     0.00698647     0.00626256     -0.0020724              0              0              0
          365           -150           -100     0.00685757     0.00613395    -0.00201106              0              0              0
          370           -150           -100     0.00672902     0.00600686     -0.0019515              0              0              0
          375           -150           -100     0.00660094     0.00588134    -0.00189369              0              0              0
          380           -150           -100     0.00647344     0.00575743    -0.00183758              0              0              0
          385           -150           -100     0.00634664     0.00563517    -0.00178312              0              0              0
          390           -150           -100     0.00622061     0.00551459    -0.00173027              0              0              0
          395           -150           -100     0.00609546     0.00539572    -0.00167899              0              0              0
          400           -150           -100     0.00597126      0.0052786    -0.00162922              0              0              0
          405           -150           -100     0.00584809     0.00516324    -0.00158094              0              0              0
          410           -150           -100     0.00572604     0.00504972    -0.00153413              0              0              0
          415           -150           -100     0.00560525     0.00493817    -0.00148884              0              0              0
          420           -150           -100     0.00548569     0.00482845    -0.00144489              0              0              0
          425           -150           -100     0.00536739     0.00472057    -0.00140226              0              0              0
          430           -150           -100     0.00525041     0.00461454    -0.00136089              0              0              0
          435           -150           -100     0.00513476     0.00451036    -0.00132077              0              0              0
          440           -150           -100      0.0050205     0.00440805    -0.00128184              0              0              0
          445           -150           -100     0.00490765      0.0043076    -0.00124408              0              0              0
          450           -150           -100     0.00479622     0.00420902    -0.00120746              0              0              0
          455           -150           -100     0.00468625      0.0041123    -0.00117194              0              0              0
          460           -150           -100     0.00457775     0.00401745    -0.00113749              0              0              0
          465           -150           -100     0.00447086     0.00392461    -0.00110416              0              0              0
          470           -150           -100     0.00436549     0.00383366    -0.00107187              0              0              0
          475           -150           -100     0.00426165     0.00374458    -0.00104055              0              0              0
          480           -150           -100     0.00415933     0.00365736     -0.0010102              0              0              0
          485           -150           -100     0.00405853     0.00357198   -0.000980778              0              0              0
